Games;Goals;Assists;Year;Player;Goal+Assist;xGoals;xAssists;Goal destro;Goal sinistro;Rigori;Testa;Goal Campionato;Goal Champions ;Goal Coppe ;Goal vittoria;Finali Champions giocate;Goal in finale
32;18;17;2022/2023;Messi;35;17,66;15,24;7;11;0;0;15;2;1;10;0;
34;11;14;2021/2022;Messi;25;9,88;8,68;0;9;2;0;6;5;0;2;0;
47;38;12;2020/2021;Messi;50;26,68;11,42;1;29;7;1;30;5;3;2;0;
44;31;25;2019/2020;Messi;56;20,85;16,59;3;23;5;0;25;3;3;8;0;
50;51;19;2018/2019;Messi;70;26;15,34;7;39;5;0;36;12;3;11;0;
54;45;18;2017/2018;Messi;63;28,95;15,1;3;39;3;0;34;6;5;13;0;
52;54;16;2016/2017;Messi;70;26,89;13,96;6;37;9;2;37;11;6;13;0;
49;41;23;2015/2016;Messi;64;27,1;15,87;2;34;4;1;26;6;9;12;0;
57;58;27;2014/2015;Messi;85;35,89;17,61;16;30;6;6;43;10;5;13;1;no
46;41;14;2013/2014;Messi;55;;;5;27;8;1;28;8;5;13;0;
50;60;15;2012/2013;Messi;75;;;5;48;5;2;46;8;6;17;0;
60;73;30;2011/2012;Messi;103;;;9;48;13;3;50;14;9;19;0;
55;53;23;2010/2011;Messi;76;;;5;42;5;1;31;12;10;15;1;si
53;47;11;2009/2010;Messi;58;;;10;32;2;3;34;8;5;14;0;
51;38;17;2008/2009;Messi;55;;;7;25;4;2;23;9;6;16;1;si
40;16;13;2007/2008;Messi;29;;;0;11;5;0;10;6;0;5;0;
36;17;3;2006/2007;Messi;20;;;2;15;0;0;14;1;2;3;0;
25;8;3;2005/2006;Messi;11;;;1;6;0;1;6;1;1;3;0;
9;1;0;2004/2005;Messi;1;;;0;1;0;0;1;0;0;2;0;
0;0;0;2003/2004;Messi;0;;;0;0;0;0;0;0;0;0;0;
0;0;0;2002/2003;Messi;0;;;0;0;0;0;0;0;0;0;0;
26;12;4;2022/2023;Ronaldo;16;9,14;3,72;6;4;1;1;1;0;11;7;0;
39;24;3;2021/2022;Ronaldo;27;17,41;4,46;16;2;3;3;18;6;0;10;0;
44;36;5;2020/2021;Ronaldo;41;29,84;3,85;13;7;9;7;29;4;3;11;0;
46;37;5;2019/2020;Ronaldo;42;29,43;6,07;15;6;14;2;31;4;2;14;0;
43;28;10;2018/2019;Ronaldo;38;23,32;5,19;8;5;6;9;21;6;1;9;0;
44;44;8;2017/2018;Ronaldo;52;27;5,52;24;6;7;7;26;15;3;14;1;no
46;42;11;2016/2017;Ronaldo;53;25,41;4,59;22;5;7;8;25;12;5;10;1;si
48;51;15;2015/2016;Ronaldo;66;35,59;8,61;24;10;8;9;35;16;0;14;1;no
54;61;21;2014/2015;Ronaldo;82;39,31;13,6;23;8;13;17;48;10;3;16;0;
47;51;14;2013/2014;Ronaldo;65;;;31;5;10;5;31;17;3;17;1;si
55;55;12;2012/2013;Ronaldo;67;;;25;14;7;9;34;12;9;13;0;
55;60;15;2011/2012;Ronaldo;75;;;31;8;14;7;46;9;5;21;0;
54;53;16;2010/2011;Ronaldo;69;;;29;10;9;5;40;6;7;17;0;
35;33;8;2009/2010;Ronaldo;41;;;20;6;4;3;26;7;0;7;0;
53;26;9;2008/2009;Ronaldo;35;;;11;4;5;6;18;4;4;9;1;no
49;42;7;2007/2008;Ronaldo;49;;;20;7;6;9;31;8;3;19;1;si
53;23;14;2006/2007;Ronaldo;37;;;15;0;5;3;17;3;3;10;0;
47;12;8;2005/2006;Ronaldo;20;;;7;3;1;1;9;0;3;1;0;
50;9;8;2004/2005;Ronaldo;17;;;6;3;0;0;5;0;4;1;0;
40;6;6;2003/2004;Ronaldo;12;;;4;0;0;2;4;0;2;0;0;
31;5;4;2002/2003;Ronaldo;9;;;2;2;0;1;3;0;2;0;0;
